ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
474	simple		Bình S?a Nh?a PPSU PLUS Pigeon (240ml)	1	0	visible					taxable		1		0	0					1			313000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5618.d20170914.t105931.141513.jpg									0		
475	simple		S?a D??ng ?m New Born Pure Pigeon MP10005 (200ml)	1	0	visible					taxable		1		0	0					1			290000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170913.t151319.366440.jpg									0		
476	simple		Bình S?a Nh?a PPSU PLUS Pigeon (160ml)	1	0	visible					taxable		1		0	0					1			284000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5618.d20170914.t105207.954957.jpg									0		
477	simple		Ph?n Ng?a Rôm S?y Pigeon 200g	1	0	visible					taxable		1		0	0					1			58000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/4/147133423777.u2566.d20170510.t144638.962327.jpg									0		
478	simple		Núm Ty Silicone Siêu M?m Plus Pigeon (Size S)	1	0	visible					taxable		1		0	0					1			156000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5618.d20170914.t115011.102555.jpg									0		
479	simple		Dung D?ch Gi?t Qu?n Áo Cho Bé D-Nee - Chai 3000ml (Xanh)	1	0	visible					taxable		1		0	0					1			165000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/37/0b/bc/bae97558783dae8f73219112f4256abc.jpg									0		
480	simple		Dung D?ch Gi?t Qu?n Áo Cho Bé D-Nee - Chai 3000ml (Tím)	1	0	visible					taxable		1		0	0					1			165000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/a1/89/70/5e818a2a8a3e3696073f46df6a449bbe.jpg									0		
481	simple		N??c R?a Bình S?a D-nee - Chai 500ml	1	0	visible					taxable		1		0	0					1			72000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/8/8/8851989060248_1.u2442.d20160912.t114818.95968.jpg									0		
482	simple		Dung D?ch T?m G?i Toàn Thân Cho Bé D??i 3 Tu?i D-nee - Chai 200ml (Xanh Lá)	1	0	visible					taxable		1		0	0					1			48000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/8/8/8851989060378_1.u2442.d20160912.t135128.762214_1.jpg									0		
483	simple		Bình Bóp Th?c ?n Ch?ng Hóc Kidsme 160378OY - Cam Vàng	1	0	visible					taxable		1		0	0					1			373000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/6/1/61zyd9x7qcl._sl1500_.jpg									0		
